Turno	Data e hora	Pallets expedidos	Total de cargas	Em descida	Zona mista	Piso novo armazém	Fifo 1	Fifo 2	Fifo 3	Fifo 4	Fifo 5	Observação	Responsável	Dedutível	FPLOG EM ATRASO	Mapa em atraso	Odisseia em atraso
TURNO 2	19/09/2025	247	7	REGISTRO 19.09 AD. SGC 16.09	PLTS P/ TESTE PLTS DE DEVOLUÇÃO AOS CUIDADOS DE NOÊMIA PLT DA LOJINHA	BOTICA SP REMESSA 899773806 - EM SEPARAÇÃO	PLTS DE DEVOLUÇÃO - PEND. CARREGAR EXPORTAÇÃO REMESSA 899748161 - PEND. BIPAR AD. SGC 16.09 - EM SEPARAÇÃO (FIFO4A) AD. SGC 18/09 - PEND. SPLIT AD. PARANÁ 16.09 - PEND. BIPAR VARGINHA 19.09 - EM SEPARAÇÃO	REGISTRO 19.09 - PEND. SEPARAR VARGINHA 19.09 - PEND. SPLIT	VARGINHA 19.09 - PEND. DUPLO CHECK E BIPAR	F1 - 1 FILEIRA PEND. ESTORNAR	F1 - 1 CARGA PRONTA PEND. CRIAR REMESSA	SOLICITAR ADERÊNCIAS DOS DIAS 12, 16, 17 E 18.09 MAPEADAS	Ccarvalhosilva	0			
TURNO 3	20/09/2025	308	10	FP LOG  EXPORTAÇÃO: 899802652	PLTS P/ TESTE PLTS DE DEVOLUÇÃO AOS CUIDADOS DE NOÊMIA PALETES P/ ANALISAR	TERMINAR O CARREGAMENTO BOTICA SP	AD. SGC 16.09 ( AD. SGC 18.09 (899830908) - P. BIPAR AD. PARANÁ 16.09 (899825880) - P. BIPAR AD. REGISTRO 12.09 AD. REGISTRO 17.09  VARGINHA -(899834300 / 899833551) - PENDENTE BIPAR	FP LOG - PENDENTE FATURAR 899803956 EXPORTAÇÃO REMESSA 899748161 - PEND. BIPAR  EXPORTAÇÃO (899822387) - PENDENTE SPLIT  02 PALETES DO ALMOXERIFADO (ENVIAR COM A EXPORTAÇÃO ) 01 PALETE P/ ASSOCIAÇÃO (ENVIAR COM A EXPORTAÇÃO)	SOBRA DE REGSITRO (899834282) - PENDENTE BIPAR  AD. REGSITRO 17. 09 - PENDENTE CRIAR (Sist: FIFO3)	F1 - AGUARDANDO BAÚ (899833193) F1 - 1 FILEIRA P / ESTORNAR	F1 - CARGA AGUARDANDO DESBLOQUEIO DA QUALIDADE  F1 - 1 FILEIRA P/ ESTORNAR	SOLICITAR ADERÊNCIAS DOS DIAS 12, 16, 17 E 18.09 MAPEADAS	Nicolly Araujo				
TURNO 1	20/09/2025	113	3	PARANÁ 19/09	1 PLT AD. SGC 12/09- PEND SEPARAR 1 PLT AD. VARGINHA 12/09- PEND SEPARAR * PLTS P/ TESTE * PLTS DE DEVOLUÇÃO AOS CUIDADOS DE NOÊMIA * PALETES P/ ANALISAR		FP LOG- PEND FATURAR  * AD. PARANÁ 16.09 (899825880) - P. BIPAR * VARGINHA -(899834300 / 899833551) - PENDENTE BIPAR EXPORTAÇÃO 899802652- PEND. SEPARAR	SGC - EM SEPARAÇÃO	SGC- EM SEPARAÇÃO	F1 899833193- AGUARDANDO BAU	F1- PEND. ESTORNO	LISTA DE BOTICA SP 19/09 CRIADA PEND. CRIAR LISTA 20/09, 21/09  E 22/09	Islani Marques				
TURNO 2	20/09/2025	305	8	ADE. PARANÁ 19.09	* PLTS P/ TESTE * PLTS DE DEVOLUÇÃO AOS CUIDADOS DE NOÊMIA * PALETES P/ ANALISAR	BOTICA SP 899773810- PEND SPLIT	SGC 20.09 - EM SEPARAÇÃO SOBRA.PARANA 899844021 FATURADA ADE PARANÁ 19.09 ADE PARANA 17.09	EXPORTAÇÃO/SJP- EM CARREGAMENTO SOBRA ADERENCIA PARANÁ 19.09 PEND SEPARAÇÃO	SOBRA SGC 20.09 - PEND SEPARAR SOBRA DE REGISTRO 20.09 - PEND SEPÁRAR	F1- AGUARDANDO BAÚ899843672 F1- PEND REMESSA (FIFO4) F1-1 FILEIRA ESTORNADO E 5 PLTS PARA ESTORNAR	CARGA F1- AGUARDANDO BAÚ-899846578	2 FILEIRAS DE F1 NA AREA DE RECEBIMENTO	Elane Santos				
TURNO 3	21/09/2025	259	8	AD. REGISTRO 19.09 AD. VARGINHA 19.09	PLTS P/ TESTE PLTS DE DEVOLUÇÃO AOS CUIDADOS DE NOÊMIA PALETES P/ ANALISAR	ZERADO	AD. REGISTRO 17.09 (899850124) - PEND BIPAR AD. VARGINHA - EM DESCIDA AD. VARGINHA 12.09 (899850231) - PEND BIPAR (1 PLT)	AD. SGC 19.09 (899850129) - PEND CARREGAR	SOBRA SGC 20.09 (899849694) - PEND BIPAR AD. SGC 20.09 (899850218) - PEND BIPAR	F1- AGUARDANDO BAÚ (899843672) F1 - AGUARDANDO BAÚ (899849349)	F1 - PEND DESBLOQUEIO DA QUALIDADE (FIFO4A SISTÊMICO) F1 - AGUARDANDO BAÚ/PEND PICKING (899846578)	PALETES DE ESTOJO ESTÃO SENDO INSERIDOS PEND. SOLICITAR: PARANÁ E VARGINHA - DIA 20 PEND MAPEAR AD. REGISTRO - 20/09	Santos Gisele				
TURNO 2	21/09/2025	151	5	ADERÊNCIA SGC 19/09	ADE.SGC (899849694 899850218 899851969 899854059 899856746) 2 PLTS TESTE LILY 3 PLTS DEVOLUÇÃO  ADE.REGISTRO 19/09 - PEND REMESSA	ZERADO	VAZIO	VAZIO	VARGINHA 20.09 PEND SPLIT	* F1- AGUARDANDO BAÚ (899843672) * F1 - AGUARDANDO BAÚ (899849349)	* F1 - PEND DESBLOQUEIO DA QUALIDADE (FIFO4A SISTÊMICO) * F1 - AGUARDANDO BAÚ/PEND PICKING (899846578)	ATUAÇÃO NA AREA DE DIVERGÊNCIA - CAMPO TRANSITORIO ESTOJOS ARMAZENANDO	Elane Santos				
TURNO 3	22/09/2025	153	7		AD. SGC 16.09 (899851969) - PEND BIPAR AD. SGC 17.09 (899854059) - PEND BIPAR SOBRA SGC 20.09 (899849694) - PEND BIPAR AD. SGC 19.09 (899862540) - PEND BIPAR AD. REGISTRO 19.09 (899862141) - PEND BIPAR 2 PLTS TESTE LILY 3 PLTS DEVOLUÇÃO	ZERADO	SOBRA VARGINHA 20.09 (899863827) - PEND BIPAR AD. VARGINHA 18/09 (899864089) - PEND BIPAR AD. VARGINHA 20/09 - EM DESCIDA/SEPARAÇÃO	VAZIO	AD. REGISTRO 17.09 (899863999) - PEND BIPAR AD. REGISTRO 18.09 (899864022) - PEND BIPAR AD. REGISTRO 19.09 (899864229) - PEND BIPAR AD. REGISTRO 20.09 - EM DESCIDA/SEPARAÇÃO (FIFO3)	F1- AGUARDANDO BAÚ (899843672) F1 - AGUARDANDO BAÚ (899849349)	F1 - PEND DESBLOQUEIO DA QUALIDADE (FIFO4A SISTÊMICO) F1 - AGUARDANDO BAÚ (899846578)	ARMAZENANDO ESTOJO LISTA DO DIA 22 CRIADA PEND SOLICITAR AD. PARANÁ 20.09	Santos Gisele				
TURNO 1	22/09/2025	191	7	PARANÁ 22/09	* 2 PLTS TESTE LILY * 3 PLTS DEVOLUÇÃO * AD. PARANÁ 20/09 - EM SEPARAÇÃO	VAZIO	* SOBRA VARGINHA 20.09 (899863827) - PEND TM * AD. VARGINHA 18/09 (899864089) - PEND TM * AD. VARGINHA 20/09 (899866478) - PEND. TM * VARGINHA 22/09 (899866841) - PEND. TM  * DEVOLUÇÃO - 03 PALLETS PEND. INVENTARIAR	VARGINHA 22/09 (899871086) - PEND. BIPAR  VARGINHA 22/09 - PEND. CRIAR REMESSA (ETIQUETA BRANCA)	* AD. REGISTRO 17.09 (899863999) - PEND BIPAR * AD. REGISTRO 18.09 (899864022) - PEND BIPAR * AD. REGISTRO 19.09 (899864229) - PEND BIPAR * AD. REGISTRO 20.09 (899867103) - PEND. BIPAR  AD. REGISTRO 19.09 (899862141) - PEND BIPAR	F1 LOGIC 899843672 - EM CARREGAMENTO PALLETS ESTORNADOS NO EXPEDE (02 FILEIRAS)	F1 - CARGA PRONTA PEND. CRIAR REMESSA	PEND. CRIAR LISTA DO MAPA 23/09 PEND. MAPEAR AD. SGC 22/09	Sandy Santos				
TURNO 2	22/09/2025	227	8	SGC 23.09	FPLOG 899593317 - SEPARADO DEVOLUÇÃO PALETES DE TESTE LILY	ZERADO	REGISTRO - PEND CRIAR REMESSA ADERÊNCIA DE PARANÁ 22.09 - PEND CRIAR REMESSA ADE. SGC 22.09 PEND SEPARAÇÃO	DUAS CARGAS DE REGISTRO - AGUARDANDO BAÚ (899877229 899880049)	ADE VARGINHA 22.09 - PEND REMESSA SOBRA REGISTRO 23.09 - PEND REMESSA CARGA DE REGISTRO 23.09 (	CARGA F1 - PEND REMESSA F1 - PEND ESTORNO	F1 - PEND ESTORNO	LISTA 23.09 PENDENTE FINALIZAR A CRIAÇÃO DE SGC PENDENTE CRIAR LISTA VARGINHA E PARANÁ MAPEADA ADERÊNCIA DIA 22.09 TODOS OS DESTINOS	Elane Santos				
TURNO 3	23/09/2025	379	13	AD. REGISTRO 23.09 SOBRA DE SGC	FPLOG 899593317 - PEND FATURAR DEVOLUÇÃO PALETES DE TESTE LILY	ZERADO	SGC (899884685) - PEND BIPAR AD. VARGINHA 22.09 (899884737) - PEND BIPAR AD. PARANÁ 22.09 (899884742) - PEND BIPAR	SGC (899884631) - PEND CARREGAR/TM (FIFO 1/2) AD. REGISTRO 23.09 - EM DESCIDA	SGC (899884627) - PEND CARREGAR/TM SOBRA DE SGC - EM DESCIDA/EM SEPARAÇÃO	F1 - AG. DESBLOQUEIO DA QUALIDADE (FIFO SISTÊMICO 4)	F1 (899884707) - AGUARDANDO BAÚ	PEND SOLICITAR PARANÁ E VARGINHA 23.09  PEND SOLICITAR AD. VARGINHA 22.09	Santos Gisele				
