TURNO	Data e hora	 Cargas Programadas	Cargas Recebidos	Cargas Pendentes	Pallets Armazenados	Pallets Movimentados	Material Secundário	Pallets de ME	Qualidade	Reportar PNP	Linha 	Tempo de parada	Qtd de peças	Responsabilidade	Observações PNP	QTD. Linhas que rodaram	CCME	Buffer de Papelão	Contagem	Retrabalho	Campos Transitórios / Tarefas Pendentes	RIM	Observaçõoes Gerais
TURNO 1	18/09/2025	2	5	2	201	470	22	47	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5					$446.429,96 em 72 itens (Range: 0>5, 6>15, 16>30)		21 Paletes compactados para 07 posições liberadas.
TURNO 1	18/09/2025	2	5	2	201	470	22	47	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5					$446.429,96 em 72 itens (Range: 0>5, 6>15, 16>30)		21 Paletes compactados para 07 posições liberadas.
TURNO 2	18/09/2025	9	9	0	265	555	18	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	8	2	0	0	Material em armazenamento c-pack	0	Compactação de 23 paletes do item 437392.00  CCME - 3 armazém 5 trans Lista de dedutível disponível para solicitar e deixar material no piso para carregamento 1° turno  caminhão previsto 09:00 hs.
TURNO 1	19/09/2025	1	1	0	99	171	19	34	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5					Saldo retirado do 999Est (01 Item R$ 3.484,80) Range: 6>15		30 Paletes de bandeja no piso para carregamento (431844.00), planilha ajustada. 34 Paletes de dedutível em carregamento (Compactados para 18), planilha ajustada.
TURNO 2	19/09/2025	1	1	0	298	593	40	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	6	2	0	0	Material armazenado.	0	Realizado geográfica de caixarias 50 e 51 ajustadas 10 posições. Carregamento de bandejas concluída Tratativa de paletes divergentes
TURNO 3	19/09/2025	0	1	0	44	117	28	11	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	N/A	1	0	0	N/A	0	4 PALETES DE BANDEJAS ARMAZENADOS
TURNO 2	20/09/2025	6	7	1	227	737	0	31	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	3	2	0	0	Pallets de caixa 42850 no paredão para armazenar. 1 carga de caixa 42850 no piso.	0	Ordens de transformação 1617199/1617200/1617221 100% separadas. 1617222 em descida 1617199 iniciada abastecimento. Carga de separador com pendência.
TURNO 2	20/09/2025	6	7	1	227	737	0	31	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	3	2	0	0	Pallets de caixa 42850 no paredão para armazenar. 1 carga de caixa 42850 no piso.	0	Ordens de transformação 1617199/1617200/1617221 100% separadas. 1617222 em descida 1617199 iniciada abastecimento. Carga de separador com pendência.
TURNO 3	20/09/2025	0	0	0	50	117	33	N/A	N/A	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	N/A	4	N/A	ORDENS DE TRANSFORMAÇÃO  1617199 1617200 1617221 1617222	N/A	N/A	N/A
TURNO 1	21/09/2025	0	0	0	64	98	37	23	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	15 Pallets	Contam 5 pallets para retirada no buffer	N/A	N/A	Tratativas do dia:  R$312.239,22	N/A	
TURNO 1	21/09/2025	0	0	0	64	98	37	23	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	15 Pallets	Contam 5 pallets para retirada no buffer	N/A	N/A	Tratativas do dia:  R$312.239,22	N/A	
TURNO 1	21/09/2025	0	0	0	64	98	37	23	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	15 Pallets	Contam 5 pallets para retirada no buffer	N/A	N/A	Tratativas do dia:  R$312.239,22	N/A	
TURNO 2	21/09/2025	0	1	0	60	302	15	35	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	3		ABASTECIDO	0	0	0	0	GEOGRÁFICA DE POSIÇÕES VAZIAS NA RUA 10; GEOGRÁFICA DE POSIÇÕES VAZIAS NA RUA 11; ATUAÇÃO EM CAMPO TRANSITÓRIO.
TURNO 3	21/09/2025	0	1	0	131	190	22	11	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	12 PALETES, 21 ITENS	0	0	0	0	0	N/A
TURNO 1	22/09/2025	3	3	0	130	308	17	32	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	06 Paletes para 10 itens reintegrados.						01 Carreta da janela de 16h, descarregada, 28 paletes compactados para 10 Posições liberadas.
TURNO 2	22/09/2025	6	6	0	383	690	14	28	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	5	0	0	Material em armazenamento Gr-Estojos	0	Material solicitado saldo na planilha  (757591 - 750165 - 51387-437052.00)
TURNO 3	22/09/2025	0	0	0	207	286	28	24	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	0	0	0	0	0	15 PALETES DE DESMOBILIZAÇÃO DO TRANS, ARMAZENADO NO ARMAZÉM.          30 PALETES DE COMPACTAÇÃO NO ARMAZÉM.
TURNO 1	23/09/2025	5	2	3	136	350	32	41	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	17 Paletes para 31 itens reintegrados.						58 Paletes compactados para 21 posições livres.
TURNO 2	23/09/2025	6	6	0	610	332	15	28	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0	4	0	0	Material em armazenamento	0	Ajuste de material sem saldo E5 nova ordem não foi abastecida com material da ordem antiga no FIFO ( solicitou antecipação para 22:00 ) Paletes no paredão para armazenar.
TURNO 3	23/09/2025	0	0	0	81	220	27	20	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	4		0	0	0			. Carga de Dedutível com 26 paletes no piso :  Sistêmico em EXPEDE . Compactação de 21 paletes para 21 posições liberadas no armazém
TURNO 1	24/09/2025	0	4	0	114	279	33	65	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	14 Paletes para 16 itens reintegrados.						32 Paletes movimentados para 16 posições livres.
TURNO 2	24/09/2025	2	2	0	341	606	19	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0	6	0	0	Material da Wista sendo movimentado pelo recebimento ( Bisnaga )	0	Palete identificado na linha com divergência ajustada e-mail justificado. Caixas na mista aguardando saldo  E3- Não abastecida por falta de espaço ( com ordem anterior )
TURNO 3	24/09/2025	0	0	0	71	178	10	14	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	14 paletes para 20 itens	0	0	0	-  1 palete: R$: 7.727,40 0>5		- 21 paletes compactados para 20 posições liberadas no armazém. - 03 paletes baixados para Carga da FPLOG-  Sistêmico no EXPEDE.
TURNO 1	25/09/2025	7	5	2			13	20	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	10 paletes para 24 itens reintegrados.				60 itens para $220.198,86 Ranges: 0>5, 6>15, 16>30, >30.		Compactação de 13 paletes no ato de recebimento.
TURNO 1	25/09/2025	7	5	2	139	401	13	20	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	10 paletes para 24 itens reintegrados.				• 60 itens para $220.198,86    • Ranges: 0>5, 6>15, 16>30, >30.		Compactação de 13 paletes no ato de recebimento.
TURNO 2	25/09/2025	5	5	0	439	751	17	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	3	2	0	0		0	Carga no piso pendente de armazenamento ( Diplax com 89 paletes ) Inventario de bandejas 431843.00 e 428019.00
TURNO 1	29/09/2025	2	6	0	37	316	14	60	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5							Chamado aberto no SE SUITE para expansão do lote BY347, item 85104. 04 Carretas extras recebidas no turno.
TURNO 2	29/09/2025	11	11	0	426	796	11	28	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	11	5	0	0	Material em GR- ESTOJOS para armazenar.	0	CCME - 7 paletes para trans e 4 para armazém.
TURNO 3	29/09/2025	0	2	0	191	223	5	11	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	0	0	0	5 itens PRD < 5  dias -- R$: 27.083,57	0	E4- 1617371 : Ordem está programada para 04:30 porém não abastecido devido a quantidade de material da ordem anterior Compactamos 23 paletes para 23 posições liberadas no armazém. 1 carga da GRAFICA 43 no piso em conferência
TURNO 1	30/09/2025	5	7	0	84	229	14	33	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	Sem paletes liberados no turno.						Solicitar lista de bandeja para descarte (Alinhamento realizado com Romilson veolia para 30 paletes)
TURNO 2	30/09/2025	4	4	0	94	658	21	25	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	14	3	0	0		0	15 paletes de descarte inventariados apenas ( 4 seguiu para descarte as demais ajustadas ) Deixando lista com mais 15 para ser inventariados. Solicitação de saldo aguardando criação. 14 paletes de CCME - pendente de liberação na linha 2 paletes.
TURNO 3	30/09/2025	3	2	1-  NO SHOW	158	239	13	3	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	00- Turno disponibilizou no final.	0	0	0		0	22 PALETES  DE DEDUTIVEL DE PAPEL NO FIFO. 30 PALETES COMPACTADOS PARA 30 POSIÇÕES DISPONIVEIS NO ARMAZEM. 16 PALETES DE BANDEJAS INVENTARIADAS E AJUSTADO NO SISTEMA.
TURNO 1	01/10/2025	6	7	0	119		30	19	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5					Retirado do 999Est ($4.886,70) Range: 13 dias		01 Máquina JET, com Wagner em manutenção preventiva. OP 1617499(E2)  Com setup para ás 23:14h dia 02/10h (Não ativada)
TURNO 2	01/10/2025	3	3	2	165	392	12	18	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0	5	0	0			Ficando WP no FIFO ( 9 paletes para armazenar) Box print armazenado parcial Ordem da E2 - 1617499 inicia as 23:14 do dia 02.10 iniciamos o abastecimento pendente o item 436947.00 no piso para separar. Maquina 09 carregando no recebimento
TURNO 3	02/10/2025	1	3	0	180	266	23	28	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	5	0	0	2 itens <5 Dias: R$ 2.960,55	0	E1- 500807 - Item 437738.00 em status A4. E-mail repassado.
TURNO 1	03/10/2025	5	6	0	75	-	55	19	4	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	13 Paletes para 20 itens reintegrados.						01 Coletor para buscar no TI (Procurar Dejean) 01 Máquina (08) emprestada em separação)
TURNO 2	03/10/2025	5	5	0	258	765	15	24	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	7	2	0	0	Material em armazenamento GR-Estojos	0	Caixas rígidas no piso na ordem para separar CCME 7 paletes ( 2 armazém e 5 trans )  ficou 1 na linha pendente de liberar  Caixas M no paredão para armazenar
TURNO 1	04/10/2025	7	6	1	220	N/A	26	41	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	12 ITENS  9 PALLETS	AGUARDANDO RETIRADA DE 10 PALLETS	N/A	N/A	TRATATIVA NA FABRICA DE ESTOJOS - ORGANIZAÇÃO DOS MATERIAIS SEM SALDOS	N/A	LISTA DE BANDEJA PASSADO PARA O SEGUNDO TURNO TERMINAR O INVENTÁRIO PARA PROXIMO CARREGAMENTO. MATERIAL DE DEDUTIVEL NO PISO PARA SER ENVIADO PARA MP.
TURNO 2	04/10/2025	0	0	0	301	859	0	16	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	11 7 trans 4 armazém	10	0	0	0	0	Inventário  de bandeja 428019.00 realizado, pendente as correções dos itens divergentes. Pallets de caixaria no piso, pedir para separação hidro e cremes recolher.  Colmeia no piso, aguardando separação de cremes recolher.
TURNO 3	04/10/2025	0	0	0	26	81	3	13	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	0	0	0	N/A	0	39 PALETES COMPACTADOS           INVENTÁRIO DE BANDEJAS
TURNO 1	05/10/2025	3	0	3	12	58	25	20		Sem PNP	N/A	N/A	N/A	N/A	N/A	5	10	0	0	0	0	0	
TURNO 2	05/10/2025	2	1	1	71	574	22	12	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0	0	0	0	0	0	-Pallets da C-Pack, no piso aguardando liberação de recebimento para armazenar.
TURNO 3	05/10/2025	0	0	0	64	97	23	8	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	06 PALETES DE BANDEJAS ARMAZENADOS.          27 PALETES COMPACTADOS NO ARMAZÉM
TURNO 2	06/10/2025	4	4	0	225	616	12	22	5	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	11	2	0	0	Material para armazenar.	0	CCME - 6 para trans e 5 armazém Geográfica de caixarias realizadas e ajustes realizados. Ordem da E5 1617599 em descida pediu antecipação para 03:00hs.
TURNO 3	06/10/2025	0	2	0	118	190	15	5	N/A	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	07 PALETES DE BANDEJAS ARMAZENADOS
TURNO 3	06/10/2025	programadas	recebidos	Pendentes	Armazenado		Material Secundário	Pallets de ME	Qualidade	Sem PNP	N/A	N/A	N/A	N/A	N/A	2	CCME		CONTAGEM	RETRABALHO	CAMPOS TRANSITÓRIOS	RIM	OBS
TURNO 1	07/10/2025	4	6	0	167		21	21	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5							15 Paletes de caixa 51 de reuso, armazenadas.
TURNO 2	07/10/2025	5	5	0	169		14	24	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5			0	0		0	Atuação em saldos de paletes divergentes.  Saldos solicitados na planilha para dá seguimento nos ajustes. 785121 item pendente de criar saldo. CCME - 7 para armazém 4 para trans
TURNO 3	07/10/2025	2	2	0	148				1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4			0	0	7 itens : 22.189,85 >5	0	GEOGRÁFICA DAS RUAS 12/14 E 15, OPORTUNIDADES ENCONTRADAS FORAM AJUSTADAS.          07 ITENS TRATADOS DO CAMPO TRANSITÓRIO NO VALOR DE 22.189,85 AO TODO.          09 PALETES DE SEPARADOR FRAGMENTADOS ARMAZENADOS           13 PALETES ENTRE BANDEJAS E COLMEIAS ARMAZENADAS EMPRESTIMO DO COLABROADOR  PARA SEPARAÇÃO : ATUAÇÃO NA CONTAGEM
TURNO 1	08/10/2025	4	6	0	77		29	11	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	10 Paletes para 34 itens, reintegrados.						18 Paletes baixados para transferência em expedição. 10 Paletes de dedutível baixados físico e sistêmico.
TURNO 2	08/10/2025	4	4	0	182		19	14	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	4		4	0	Material pendente de armazenagem GR Estojo e Transf-Est.	0	-Dois itens de solicitação de saldo foram tratados. -Três itens solicitados saldo.
TURNO 3	08/10/2025	0	2	0	139		22	9	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	0		0	0	14 itens tratados - range > 5: R$ 32.593,89	0	1 carga de dedutível com 13 paletes:  em separação no piso para ser levado para MP.
TURNO 1	09/10/2025	5	6	0	98		43	13	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	02 Paletes para 07 itens reintegrados.		04 Itens inventariados.				23 Paletes de dedutível movimentados para MP.
TURNO 2	09/10/2025	5	5	0	212		15	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	15		0	0	0	0	- CCME: 5 Armazém - 10 Trans - Três itens foram tratados na planilha de solicitação de saldo, num total de sete caixas.  - Dois itens foram solicitados saldos.
TURNO 3	09/10/2025	2	2	0	126		18	31	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	8 paletes com 12 itens		0	0		0	E3- 500861 Ordem solicitada para ser abastecida pelo 1º turno : acompanhamento pela engenharia desde o ato do abastecimento. 10 paletes de dedutível baixados alocados em MP e ajustado na planilha. 8 paletes de caixa e tampa cpack  armazenados e  planilhados.
TURNO 1	10/10/2025	4	3	1	43		31	18	4	Sem PNP	N/A	N/A	N/A	N/A	N/A	5							12 Paletes movimentados para dedutível.
TURNO 2	10/10/2025	2	2	0	195		21	15	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	17		0	0		0	-Realizamos a baixa de 58 pallets de dedutíveis.
TURNO 3	10/10/2025	0	2	0	66		34	42	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	5 paletes 12 itens.						65 paletes dedutíveis armazenados. 40 paletes separados para armazenagem.
TURNO 1	11/10/2025	1	1		28		11	22		Sem PNP	N/A	N/A	N/A	N/A	N/A	5	15 paletes		0	0	Tarefas antigas tratadas e seguimos acompanhando as demais.	0	21 paletes de dedutíveis separados
TURNO 2	11/10/2025	3	2	1	50		24	30	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5			0	0	0	0	2 MO disponibilizado para da apoio na separação. 21 pallets que estavam pendentes de movimentação para MP movimentados.
TURNO 3	11/10/2025	0	0	0	60		11	37	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	3 paletes 7 itens						12 PALETES DE C-PACK ARMAZENADOS
TURNO 1	13/10/2025	3	4	0	47		61	13	6	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	03 Paletes para 07 itens reintegrados						Lista para descarte em atuação (Verificar cód no book) Geográfica realizada nas ruas 10, 11, 12.
TURNO 2	13/10/2025	3	3	0	220		16	18	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	2		0	0	Material em armazenamento GR-estojos	0	Saldos solicitados ajustados.
TURNO 3	13/10/2025	1	1	0			7	17	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	0		2	0	09 itens prd > 5 : valor R$ 74.330,60	0	Realizamos  a geográfica da rua 16. Compactamos 26 paletes para 26 posições livres no armazém.   03 Posições de cantoneiras armazenadas e bloqueadas na planilha.
TURNO 1	14/10/2025	3	2	1	32		49	13	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	07 Paletes para 18 itens reintegrados.					01 RIM atendida e abastecida.	Geográfica da rua 12 á 18, de posições vazias. Geográfica de insumos.
TURNO 2	14/10/2025	2	2	0	141		10	18	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	0		0	0	78 paletes para armazenar.	0	426298.00 - Bandejas de descarte movimentadas para Veolia ( baixas na planilha realizada) 22 paletes
TURNO 3	14/10/2025	3	3	0	172		21	13	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4				0	13 itens >5 : R$ 6.689,64	0	Lista de contagem com 11 itens contendo 25 paletes : Contado. 10 paletes de bandejas armazenados e bloqueados na planilha.
TURNO 1	15/10/2025	4	6	0	44		63	11	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	04 Paletes para 06 itens reintegrados.		14 Itens para 34 posições inventariadas. 09 Itens pendentes de inventariar.				Geográfica de diversos realizada. Geográfica da rua 10 realizada (01 ajuste realizado)
TURNO 2	15/10/2025	5	5	0	170		17	16	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	6 -  trans 5 - armazém  Total : 11		9 itens com 34 posições sendo que os itens para recontagem ( 436941.00/ 436949.00 / 436957.00)	0	64 paletes pendentes de armazenamento GR-Estojos	0	Ajustes de paletes divergentes.
TURNO 3	15/10/2025	0	0	0	114		20	4	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	0		10 Itens para 18 paletes.	0	8 itens PRD >5 : R$ 4.469,51.00	0	2 paletes de Bandejas posicionada e planilhada. 41 paletes compactados gerando 41 posições.
TURNO 1	16/10/2025	6	6	0	132		32	21	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5			04 Itens para 25 posições.				Geográfica de insumos realizada.
TURNO 2	16/10/2025	5	5	0	148		18	22	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	3 - trans 1 - armazém		3 itens 19 posições ( 436969.00 e 437008.00 recontagem )	0	122 paletes liberados pendentes de armazenamento.	0	Reunião do TAD Material solicitados saldos na planilha para ajuste de divergência.
TURNO 3	16/10/2025	2	2	0	172		14	10	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	06 paletes contendo 10 itens.		0	0	6 itens: PRD 0>5 R$ 63.511,50	0	20 paletes compactados gerando 20 posições vazias. 06 paletes de bandejas armazenados e bloqueados na planilha.
TURNO 1	17/10/2025	6	3	3	80		54	11	11	Sem PNP	N/A	N/A	N/A	N/A	N/A	5							Geográfica de insumos realizada.
TURNO 2	17/10/2025	5	5	0	235		28	18	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	8 - trans 2 - armazém		0	0	78 paletes em GR-estojos para armazenar.	0	1 Nova Pagina na doca aguardando piso para descarregar Material do Recebimento no FIFO movimentado parcial aguardando movimentar demais.
TURNO 3	17/10/2025	3	3	0	123		17	10	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	0		0	0	N\A	0	8 paletes compactados gerando 8 posições. 30 paletes de transferência para SJP - Sistêmico em EXEPDE
TURNO 1	18/10/2025	6	7	0	167		13	29	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	3 Pallets para o TRANS e 1 Pallet para Galpão.		8 itens contados.	N/A	Tratativa dos campos mista2 e 999 est.	N/A	Item 437240.00 atendido 30 pallets para expedição
TURNO 2	18/10/2025	13	12	1	118		14	40	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	5		0	0	0	0	Remessa box print 13 pallets no piso com chamado aberto. E5 sem programação.
TURNO 1	19/10/2025	2	4		74		11	49	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	13 Paletes e 23 itens		N/A	N/A		N/A	
TURNO 2	19/10/2025	8	6	2	24		32	25	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	4		0	0	0	0	INVENTARIO 999 EST ITENS: 424747.00 E 437195.00 GEOGRÁFICA DE POSIÇÕES VAZIAS RUA 10
TURNO 3	19/10/2025	0	0	0	26		7	64	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	0		0	0	13 itens PRD>5 : R$ 309.657,43	0	29 paletes compactados para 29 posições liberadas no armazém.  4 paletes entre bandejas e caixas c-pack acondicionadas na posição e bloqueadas na planilha.
TURNO 1	20/10/2025	2	0	2	17		39	36	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	5 paletes, 9 itens e 1 colmeia		N/A	N/A	Tratativas de campo transitório 999 EST.	N/A	Ordem de transformação programada.
TURNO 2	20/10/2025	5	5	0	284		16	22	6	Reportar PNP	E3	17	375	GPP foi informada que o total alocado na ordem não era suficiente para atender e finalizar a ordem.	[E3]: Conforme lote com as quantidade que foi alocado na ordem não completava o total da ordem ficando material pendente de solicitar.	N/S	3 paletes		0	0	Material o piso GR estojos pendente de armazenamento.	0	Ordem de transformação solicitado para abastecimento 1° turno 08:00 ( material sinalizado via e-mail na qualidade) Baixas de bandejas 425792.00 já realizadas baixas no sistema e movimentadas para expedição
TURNO 3	20/10/2025	2	2	0	193		6	36	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	1 palete para 12 itens reintegrados.		0	0	5 itens PRD>5 : R$ 92.887,85.	0	14 paletes destinado para expedição -SJP 1 lista pronta com 14 paletes para descida em expedição.
TURNO 1	21/10/2025	3	3	0	160		14	31	1	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	8 paletes  (27 itens), e três paletes de Colmeia.		N/A	N/A		Não	Realizado Geográfica de Materiais diversos. Realizado Compactação de 17 paletes.
TURNO 2	21/10/2025	5	5	0	254		20	26	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	01 palete liberado.		0	0	Material GR-estojo pendente de armazenamento.434347.00	0	FIFO 01 COM MATERIAL QUE DESCEU DO TRANS PARA ARMAZENAR ORDEM DE TRANSFORMAÇÃO 1618525 JÁ ABASTECIDA  ORDEM DE TRANSFORMAÇÃO 1618518 EM SEPARAÇÃO
TURNO 3	21/10/2025	0	0	0	105		16	34	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	13 itens para 3 paletes reintegrados.		0	0	06 itens >5 dias : R$:  R$ 132.228,18.	0	30 paletes compactados para 30 posições liberadas  no armazém . 56 paletes desmobilizados do trans para o armazém.  08 paletes de bandejas acondicionados e bloqueados na planilha.
TURNO 1	22/10/2025	5	3	2	194		49	12	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	2 paletes, 13 Itens 1 Colmeia			N/A	ATUAÇÃO NO CAMPO TRANSITÓRIO.  Redução 36090,54.	N/A	10 Paletes compactados.
TURNO 2	22/10/2025	5	5	0	157		21	18	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	1 palete liberado		0	0	Material de desmobilização em GR estojos para armazenar - solicitados 62 paletes FIFO 2	0	Geográfica de material diversos  e ajustadas 25 posições, ajustadas na planilha. Recebemos 11 paletes de separador fragmentado. Reintegração da ordem da E5 e da E1. Canceladas.
TURNO 3	22/10/2025	0	0	0	115		9	4	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	4 itens para 4 paletes		0	0	15 itens PRD  >5 R$: R$ 245.515,41.	0	Inventario do Item 436971.00 - Zero anomalia encontrada.  86 paletes de desmobilização guardados no armazém.  20 paletes compactados gerando 20 posições.
TURNO 1	23/10/2025	2	3	1	72 paletes armazenados		36	26	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	7 paletes realizados e 19 itens.			N/A	Reduzido total 258.476,54.	N/A	15 paletes de material de embalagem (ME) foram compactados no armazém.           Retirada de 9 pallets, sem saldo da fabrica de estojos para tratativa, os mesmos se encontra na separação 1 (ao lado da esteira)
TURNO 2	23/10/2025	4	4	0	120		18	16	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	5 paletes liberados .		0	0	2 paletes em GR-estojos pendente de movimentação física do recebimento.		Geográfica de caixarias realizadas. Material que estava com saldo solicitado tratado (de paletes divergentes). 60 paletes da separação já em armazenagem uma parcial no FIFO 2.
TURNO 3	23/10/2025	0	2	0	154		30	18	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	CCME: 05 itens, 03 paletes.		N/A	N/A	Quatro itens, totalizando o valor de R$ 120.752,38.	N/A	Lista de Paletes Separados para Expedição: 10 paletes de bisnagas.           Desmobilização de 125 paletes de bisnagas (Transelevador).
TURNO 1	24/10/2025	5	5	0	164 armazenados		32	52	3	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	N/A puxada dos materiais sem saldo		N/A	02 no piso.		N/A	Lista de Paletes Separados para Expedição:  Paletes de bisnagas.           Desmobilização de paletes de bisnagas (Trans elevador).  Compactação realizada 9 paletes compactados
TURNO 2	24/10/2025	6	10	0	169		30	32	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	2 paletes liberados.		0	0	120 paletes em GR-estojos pendentes de armazenar.	0	Linha E3 -  Não foi abastecido a linha esta cheia da ordem anterior. Estamos incluindo na janela cargas mistas recebidas no recebimento que estão sendo movimentadas para o armazém.  01 HC em apoio a expedição para movimentação de paletes de dedutíveis para MP. 01 HC disponível tratar paletes sem saldo na linha de Estojos ( Retirados 05 paletes de PA planilhados e identificados movimentados para separação).
TURNO 3	24/10/2025	0	0	0	180		21	26	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	3	13 itens compactados para 7 paletes.		0	0	93 itens PRD > 5>20>16 Totalizando:  R$ 492.101,42.	0	
TURNO 1	25/10/2025	3	3	0	282		27	28	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	4	14 pallets / 14 itens.		N/A	N/A	Tratativa dos materiais sem saldos na separação 1 oriundos da fabrica de estojos.	N/A	Compactação de 8 paletes.           Desmobilização do TRANS, solicitação de 50 bisnagas no piso.
TURNO 2	25/10/2025	5	4	1	120		17	40	0	Sem PNP	N/A	N/A	N/A	N/A	N/A	5	4		9 Pallets item 86219	0	0	0	Contagem do item 86219 (9 pallets);  1 MO dando apoio no recebimento;  Pallets de desmobilização em descida no pig 1;  Ordem E1-1618702 não abastecida por falta de espaço de piso do industrial.
TURNO 3	25/10/2025	0	0	1	135		48	36	2	Sem PNP	N/A	N/A	N/A	N/A	N/A	2				3			10 Paletes compactação.   Desmobilização do TRANS, solicitação e armazenado 80 bisnagas.
