Turno	Data e hora	Pallets expedidos	Total de cargas	Em descida	Zona mista	Piso novo armazém	Fifo 1	Fifo 2	Fifo 3	Fifo 4	Fifo 5	Observação	Responsável
TURNO 1	06/08/2025	332	8	* REGISTRO * DEVOLUÇÃO * 04 PALLETS PARA INVENTÁRIO		* DEVOLUÇÃO RÓTULO - AG. COLETA * DEVOLUÇÃO MP - AG. COLETA * ADER. PARANÁ (898824739) 05.08 - PEND. TM * ADER. REGISTRO (898824692) 05.08 - PEND. TM * 04 PLTS VARGINHA - FIFO5A (AGUARDANDO RESTANTE DO MAPA)  * DEVOLUÇÃO FILME EM DESCIDA	* REGISTRO - PEND. CRIAR REMESSA * DEDUTÍVEL PAPEL E PA NÃO INFLAMÁVEL -SEPARADO * FPLOG - PEND. FATURAR	* DEVOLUÇÃO - EM DESCIDA * REGISTRO - PEND. CRIAR REMESSA	* SGC 898832842 - PEND. TM * AD. SGC 05/08 898833258 - PEND TM	* F1 - 47 PLT FIFO 4 - PEND. CRIAR REMESSA	* F1 - PEND. ESTORNO	* 04 PLTS INVENTÁRIO EM DESCIDA - ITEM 415041.00  * PEND. MAPEAR ADERÊNCIA SGC 06/08  * ATUAÇÃO EM CAMPO TRANSITÓRIO E TAREFAS  * DEVOLUÇÕES EM DESCIDA	Sandy Santos
TURNO 2	06/08/2025	641	19	REGISTRO 06/08 VARGINHA 06/08 AD SGC 06/08 DEVOLUÇÃO	DEVOLUÇÃO - 4 PALETES SEPARADOS E 1 PALETE PARA SEPARA DEVOLUÇÃO RÓTULO - AG. COLETA DEVOLUÇÃO MP - AG. COLETA ADER. PARANÁ (898824739) 05.08 - PEND. TM 04 PLT INVENTÁRIO - 415041.00	ZERADO	VARGINHA FINALIZADO - PENDENTE CRIAR REMESSA 04 PLTS VARGINHA - FIFO5A (AGUARDANDO RESTANTE DO MAPA) - CRIAR REMESSA DEDUTÍVEL PAPEL E PA NÃO INFLAMÁVEL -SEPARADO FPLOG - PEND. FATURAR	DEVOLUÇÃO EM SEPARAÇÃO AD SGC 06.08 EM DESCIDA	VARGINHA FINALIZADO - PENDENTE SPLIT  REGISTRO EM DESCIDA	F1 - PENDENTE CRIAR REMESSA F1 - PENDENTE CONTINUAR CARREGAMENTO  F1 - 1 FILEIRA SEPARADA NO FIFO 5  F1 - 1 FILEIRA PARA ESTORNAR	F1 - EM CARREGAMENTO F1 - 2 FILEIRAS SEPARADAS NO FIFO 5 SISTEMICO	AREA DE DIVERGENCIA TEMOS 11 PALETES DE SOBRA DE VARGINHA - PENDENTE CRIAR REMESSA PENDENTE SOLICITAR A DESCIDA DE PARANÁ 06/08 PENDENTE MAPEAR AD DO DIA 06/08 PENDENTE CRIAR LISTA DO DIA 07/08: PARANÁ, SGC, REGISTRO,	Beatriz Suzart
TURNO 3	07/08/2025	312	11	* AD. VARGINHA 06/07  * AD. REGISTRO 06/07	* DEVOLUÇÃO - 4 PALETES SEPARADOS E 1 PALETE PARA SEPARA * DEVOLUÇÃO RÓTULO - AG. COLETA * DEVOLUÇÃO MP - AG. COLETA * ADER. PARANÁ (898824739) 05.08 - PEND. TM * 03 PLT INVENTÁRIO - 415041.00 (INVENTARIADO)	* BANDEJA - PENDT ATUAÇÃO DA PIZZATTO E NOTA FISCAL	* DEDUTÍVEL PAPEL E PA NÃO INFLAMÁVEL -SEPARADO * FPLOG - PEND. FATURAR * DEVOLUÇÃO - LIBERADA PELA QUALIDADE  *AD. PARANÁ 06/08 - PENDENTE SEPARAR  * SOBRA PARANÁ 06/08 - SEPARADA (SIST: FIFO1A) - PENDET CRIAR REMESSA	* AD SGC 06/08 - PENDT SPLIT  *AD. PARANÁ 06/08 - PENDENTE SEPARAR	* AD REGISTRO 06/08 (898824692, 898849379, 898849948) - PENDT TM  * VARGINHA (898849881) - PENDENT CARREGAR	* F1 - CARGA FATURADA AGUARDANDO BAÚ -  (898849599)  * F1 - CARGA FATURADA AGUARDANDO BAÚ -  (898849578)	* F1 - CARGA AGUARDANDO DESBLOQUEIO DA QUALIDADE  * F1 - PENDET. ESTORNO	* PENDENTE CRIAR LISTA DO DIA 07/08: SGC E REGISTRO * PENDENTE SOLICITAR PARANÁ E VARGINHA 07/08	Nicolly Araujo
TURNO 1	07/08/2025	419	10	VARGINHA	SJP MP REMESSA 898841384 ESTJ - PEND. ESTORNO PLT DIVERGENTES DEVOLUÇÃO RÓTULO - AG. COLETA DEVOLUÇÃO MP - AG. COLETA		* DEDUTÍVEL PAPEL -SEPARADO * FPLOG - PEND. SEPARAR BUFFER * DEVOLUÇÃO - AG. NF  * VARGINHA - EM SEPARAÇÃO	* VARGINHA AD. 06/08 - EM SEPARAÇÃO * REGISTRO AD. 06/08 - PEND. CRIAR REMESSA 15 UCS * AD REGISTRO 06/08 (898824692, 898849379, 898849948) - PENDT TM * FPLOG	* VARGINHA AD. 06/08 - EM SEPARAÇÃO	F1 LOGIC - 898857882 - FATURADA EM CARREGAMENTO (PEND. PASSAR E-MAIL) PLTS ESTORNADOS / PEND. ESTORNO	F1 - PEND. CRIAR REMESSA	LISTA MAPA 07/08 - CRIADA  CARREGAMENTO DEDUTÍVEL - PA NÃO INFLAMÁVEL  01 NF COM ERRO - TU NÃO INTEGRA NO EWM 4000220738 -  SOLICITADO - ENVIAR NA PRÓXIMA CARGA LOGIC	Sandy Santos
TURNO 2	07/08/2025	790	22	SGC 07.08	SJP MP REMESSA 898841384 ESTJ - PEND. ESTORNO PLT DIVERGENTES DEVOLUÇÃO RÓTULO - AG. COLETA	ZERADO	DEDUTÍVEL PAPEL -SEPARADO FPLOG - PEND. SEPARAR BUFFER DEVOLUÇÃO - AG. NF VARGINHA 07/08 - EM CARREGAMENTO SGC 07/08 - EM DESCIDA / SEPARAÇÃO - ETIQUETA LARANJA	SGC 07/08 - EM CARREGAMENTO  SGC 07/08 - EM DESCIDA / SEPARAÇÃO - ETIQUETA LARANJA	SGC 07/08 - AGUARDANDO SUBIR CARGA	F1 - EM CARREGAMENTO F1 - FIFO4 - PENDENTE CRIAR REMESSA F1 - 2 FILEIRAS PENDENTE ESTORNAR	F1 - PENDENTE ESTORNAR	* PENDENTE CRIAR LISTA DO MAPA 08/08  * PENDENTE MAPEAR AD VARGINHA 07.08 * PENDENTE SOLICITAR A DESCIDA DE REGISTRO E PARANÁ 07/08 * 01 NF COM ERRO - TU NÃO INTEGRA NO EWM	Beatriz Suzart
TURNO 3	08/08/2025	280	7	* ADERÊNCIA SGC 07/08 * REGISTRO 07/08 * 03 PLTS ADERÊNCIA DE VARGINHA 06/07 * 01 PALETE ADERÊNCIA DE PARANÁ 06/07	* DEVOLUÇÃO RÓTULO - AG. COLETA * SJP MP REMESSA 898841384 * PLTS DIVERGENTES * DEVOLUÇÃO DE FILME - AG. AJUSTE DE NOTA	ZERADO	* DEDUTÍVEL PAPEL -SEPARADO * FPLOG - PEND. SEPARAR BUFFER	* REGISTRO 07/08 - EM DESCIDA E SEPARAÇÃO (12 PLTS SEPARADO NO FIFO2A)	* REGISTRO 07/08 - PENDET CRIAR REMESSA (Sist: FIFO 03)  * ADERÊNCIA DE VARGINHA 07/08 - PENDET CRIAR REMESSA (Sist FIFO 3A)	* F1 - CARGA FATURADA AGUARDANDO BAÚ (898871263) * F1 - 34 PALETES SEPARADOS NO FIFO 04	* F1 - CARGA SEPARADA - PENDT CRIAR PEDIDO/ REMESSA (Sist: FIFO5)	* PENDENTE CRIAR LISTA DO MAPA 08/08 * PENDENTE SOLICITAR A DESCIDA DE PARANÁ 07/08 * 01 NF COM ERRO - TU NÃO INTEGRA NO EWM * DEVOLUÇÃO - AG. NF (CARREGADA - DFP1B09) * F1 - 30 PALETES PARA ESTORNAR NO PISO DO RECEBIMENTO	Nicolly Araujo
TURNO 1	08/08/2025	460	10	AD. REGISTRO 07/08  EXPORTAÇÃO 06/08 FPLOG	AD. SGC 07/08 898876572 - PEND. TM  * DEVOLUÇÃO RÓTULO - AG. COLETA * SJP MP REMESSA 898841384 * PLTS DIVERGENTES * DEVOLUÇÃO DE FILME - AG. AJUSTE DE NOTA	VAZIO	FPLOG - EM DESCIDA PARANÁ 07/08 - EM SEPARAÇÃO (FIFO 3)  DEDUTÍVEL PAPEL -SEPARADO	EXPORTAÇÃO - EM DESCIDA PARANÁ - PEND. CRIAR REMESSA	* REGISTRO AD. 07/08 - EM SEPARAÇÃO  * ADERÊNCIA DE VARGINHA 07/08 - PEND TM * ADERÊNCIA DE VARGINHA 06/08 - PEND CRIAR REMESSA	F1 - 2 CARGAS PEND CRIAR REMESSA  F1 - FATURADA 898876179 - EM CARREGAMENTO	F1 - PLT PEND. ESTORNO	F1 NO RECEBIMENTO - PLT PEND. ESTORNO  LISTA REGISTRO E PARANÁ - MAPA 08/08 CRIADA PEND. MAPEAR AD. PARANÁ 07/08 EXPORTAÇÃO 06/08 - EM DESCIDA	Sandy Santos
TURNO 2	08/08/2025	724	23	SGC 08.08	AD. SGC 07/08 898876572 - PEND. TM SOBRA DE VARGINHA 08.08 - PEND SEPARAÇÃO DEVOLUÇÃO RÓTULO - AG. COLETA SJP MP REMESSA 898841384 PLTS DIVERGENTES DEVOLUÇÃO DE FILME - AG. AJUSTE DE NOTA	ZERADO	DEDUTÍVEL PAPEL -SEPARADO FPLOG - PEND SEPARAR  SOBRA DE REGISTRO 08/08 - PEND SPLIT 898891642	EXPORTAÇÃO - PEND FATURAR 898838417 PARANÁ - PEND TM	VARGINHA  - PEND SEPARAÇÃO AD REGISTRO 06 e 07 - PEND SEPARAÇÃO REGISTRO 08/08 - PEND SEPARAÇÃO	F1 - CARGA PRONTA - PEND REMESSA E REMONTAR F1 - 2 FILEIRAS EM EXPEDE F1 - 1 FILEIRA PEND ESTORNO	F1 - PEND ESTORNO	LISTA 08.08 CRIADA SOLICITAR A DESCIDA DE PARANÁ 08.08 MAPEAR ADERENCIA DE REGISTRO E PARANÁ 07.08 MAPEAR ADERENCIA DE REGISTRO 08.08 CRIAR LISTA 09.08	Beatriz Suzart
TURNO 3	09/08/2025	269	6	AD. PARANÁ 07/08	* AD. SGC 07/08 898876572 - PEND. TM * ADERÊNCIA  VARGINHA 07.08 - PENDT. TM (898897075) * DEVOLUÇÃO RÓTULO - AG. COLETA * SJP MP REMESSA 898841384 * PLTS DIVERGENTES * DEVOLUÇÃO DE FILME - AG. AJUSTE DE NOTA	ZERADO	* DEDUTÍVEL PAPEL -SEPARADO * FPLOG - PEND SEPARAR * ADERÊNCIA PARANÁ 07/08 - EM DESCIDA	SGC (898896814 / 898896900)  - EM CARREGAMENTO	VAZIO	* F1 - CARGA FATURADA AGUARDANDO BAÚ (898896584)  * 34 PLTS - ESTORNADOS NO EXPEDE	* F1 - CARGA AGUARDANDO DESBLOQUEIO DA QUALIDADE	* CRIAR LISTA 09.08 * MAPEAR ADERÊNCIA DE REGISTRO 07/08 * SOLICITAR A DESCIDA DE PARANÁ 08.08 * 01 NF - ERRO NA TU (CHAMADO ABERTO)  * 02 NF - ERRO NF REJEITADA (CHAMADO ABERTO)  * F1 - 03 FILEIRA NO RECEBIMENTO P/ ESTORNAR	Nicolly Araujo
TURNO 1	09/08/2025	479	8	REGISTRO	* AD. SGC 07/08 898876572 - PEND. TM * DEVOLUÇÃO RÓTULO - AG. COLETA *  PLTS DIVERGENTES * DEVOLUÇÃO DE FILME - AG. AJUSTE DE NOTA	VAZIO	* DEDUTÍVEL PAPEL -SEPARADO * FPLOG - PEND FATURAR * DEVOLUÇÃO - PEND. CONFERIR	SJP REMESSA - PEND. SPLIT SJP MP REMESSA 898841384 - PEND. SPLIT REGISTRO - EM DESCIDA	PARANÁ AD. 07/08 898898777 - PEND TM PARANÁ - PEND. CRIAR REMESSA  VARGINHA AD. 07/08 898897075 - PEND. TM VARGINHA 898900733 - PEND TM	F1 - CARGA PRONTA (PEND. TRANSFERIR PARA FIFO) F1 - PEND. ESTORNO		PEND. MAPEAR ADERÊNCIA DIA 08/09 E 09/08 PEND. ATUAR EM ODISSEIA	Sandy Santos
