TURNO	Data e Hora	Responsável	Doca 19	Doca 20	Doca 21	Doca 22	Doca 23	Doca 24	Doca 25	Doca 26	Agendadas 	Recebidas	Back log 	Back Log	Recebidas 	Lançadas  	Pendetes de TU	NF Pendentes 	Qualidade solicitados 	Qualidade atendidos 	Wave em separação	Wave em Pesagem	Wave na Eclusa	Waves Separadas	Wavem em fila	Itens contados	Itens Recontados	Observações
TURNO 3	13/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	4 NFs chamado aberto	0	0	2884	2882/2883	2883	2883- 115 separados (concluído)  2884- 48 posições separadas 56 pendentes	2885	4 itens	1 item	Atendimento complementar Atendimento de pendências Apoio a pesagem na transferência de alguns itens Guarda de piso Atuação nos itens baixados no check de posições Devolução 105 posições Atuação no Campo transitório  Reunião TAD 
TURNO 1	14/08/2025	Marcior	0	0	0	0	0	0	0	0	1 no segundo turno 	0	0	0	0	2 de pendências 	0	5 com chamado 	0	0	Finalizando 2894	2883	2884	2884+2894	2885	3	1	Guarda dos itens divergentes  Atendimento a pendências  Atuamos nas NFS pendentes com chamados  Atendimento a pesagem  Reunião do TAD Treinamento a área de pesagem EWM 
TURNO 2	14/08/2025	Edmars	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	3 NF com Chamados abertos	1	1	2895	2884	2885	2885	2888/ 2890 / 2902	0	0	Atendimento a pesagem: Atendimento de complementares; Baixa de material para engenharia; Atendimento a qualidade; Quantidade de HC 5; Atuação em campo transitórios
TURNO 3	14/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3 NFs com chamado	0	0	2890	2887/2888	2888	2891/2897/2896/2888	2892	4	1	Atendimento a pesagem Atendimento a pendências Atendimento complementar Devolução Tratativa e guarda de itens do check de posições Guarda de paletes piso Contagem 4 itens Recontado 1 item Tratativa campo transitório Paradão- 30min
TURNO 1	15/08/2025	Marcior	0	0	0	Coopercarga para descarregar 	Maxisane descarregando 	0	0	0	3	3	0	2 que foram tratadas 	10	0	12	2 de transferência com chamado sendo acompanhado 	0	0	2890- 240 posições 	2890 2888	2888	2890 em andamento 	2902	4	1	Atuamos na devolução  Atuamos em NFS pendentes  Atuamos em solicitação de NF,s Atuamos em contagem  Atuamos em solicitações da fábrica  Carregamos uma carga de ibc oxiteno 
TURNO 2	15/08/2025	Edmars	0	0	0	0	0	0	0	0	3	3	0	12	12	12	0	3 NFs com chamados abertos	8	8	2902	2888	2890	2890	2903 2904 2905 2899	0	0	Atendimento a pesagem; Atendimento a solicitações de armazenagem de paletes de engenharia e facilite; Atuamos em campos transitórios; Separação da remessa de SJP;
TURNO 3	15/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	3	0	12	12	12	0	2 Transferência com chamado	0	0	2903 95 posições separadas 21 pendentes	2888	2890/2902	 Cremes 2902 Hidro 2899	2904/2905	5 Itens	0	HCs 3 disponíveis- Solicitado empréstimo de uma HC para atender as atividades prioritárias  Atendimento a pesagem Atendimento a pendências Guarda piso Devolução Contagem Campo Transitório DDC Extraordinário- Segurança/Uso de EPI  
TURNO 1	16/08/2025	Marcior	0	0	0	0	Descarregando 	0	0	0	1	Descarregando 	0	0	0 descarregando 	0	0	3 com chamado 	6	6	2904	2890	2903	2803+2904	2905	4	2	Atendemos fabrica  Guarda de devolução  Tratativas de tarefas pendentes  Contagem 
TURNO 2	16/08/2025	Edmars	0	0	0	0	0	0	0	0	1	1	0	0	13	13	0	3 NFs, chamados abertos 	8	8	2900	2890	2902	2903/2904/2905	2911/2912	4	0	Atendimento a pesagem; Atuação nos campos transitórios; Atendimento de ordens complementares
TURNO 3	17/08/2025	Uilliam Oliveira	0	0	0	0	0	0	0	0	1	1	0		16	14		2	0	0	0		2900	2900 - 2911 - 2912	0	4	0	atendimento de pendencias atendimentos de complementar compactação da rua 06 guarda do piso de mp guarda devolução guarda de dedutível: 12 paletes contagem de posição ineficiente pacote 2911 - 2912: na rua 06 ativação de T.U: 12 NF  
